IP Mgmt,IP IN,Prefix IN,IP Out,Prefix Out,HostName,Chassis,Slot
100.64.78.101,100.64.73.2,26,100.64.73.130,25,ABR-SD-M-1,15,5
100.64.78.103,100.64.73.4,26,100.64.73.132,25,ABR-SD-M-3,15,6
100.64.78.102,100.64.73.3,26,100.64.73.131,25,ABR-SD-M-2,15,7
100.64.78.104,100.64.73.5,26,100.64.73.133,25,ABR-SD-M-4,15,8
100.64.78.82,100.64.72.121,26,,,SMX_CTL-HD2-BK-2,16,1
100.64.78.18,100.64.72.17,27,100.64.72.49,27,XCD_SD-BK-2,16,2
100.64.78.115,100.64.73.16,26,100.64.73.144,25,ABR-SD-M-15,16,3
100.64.78.116,100.64.73.17,26,100.64.73.145,25,ABR-SD-M-16,16,4
100.64.78.81,100.64.72.120,26,,,SMX_CTL-HD2-BK-1,17,1
100.64.78.162,100.64.73.95,26,100.64.73.191,25,ABR-HD-BK-4,17,2
100.64.78.71,100.64.72.108,26,100.64.72.150,26,XCD_HD2-M-21,17,3
100.64.78.78,100.64.72.115,26,100.64.72.157,26,XCD_HD2-BK-2,17,3
100.64.78.74,100.64.72.111,26,100.64.72.153,26,XCD_HD2-M-24,17,4
100.64.78.72,100.64.72.109,26,100.64.72.151,26,XCD_HD2-M-22,17,5
100.64.78.75,100.64.72.112,26,100.64.72.154,26,XCD_HD2-M-25,17,6
100.64.78.73,100.64.72.110,26,100.64.72.152,26,XCD_HD2-M-23,17,7
100.64.78.76,100.64.72.113,26,100.64.72.155,26,XCD_HD2-M-26,17,8
100.64.78.48,100.64.72.117,26,,,SMX_CTL-HD1-BK-1,18,1
100.64.78.161,100.64.73.94,26,100.64.73.190,25,ABR-HD-BK-3,18,2
100.64.78.109,100.64.73.10,26,100.64.73.138,25,ABR-SD-M-9,18,3
100.64.78.112,100.64.73.13,26,100.64.73.141,25,ABR-SD-M-12,18,4
100.64.78.110,100.64.73.11,26,100.64.73.139,25,ABR-SD-M-10,18,5
100.64.78.113,100.64.73.14,26,100.64.73.142,25,ABR-SD-M-13,18,6
100.64.78.111,100.64.73.12,26,100.64.73.140,25,ABR-SD-M-11,18,7
100.64.78.114,100.64.73.15,26,100.64.73.143,25,ABR-SD-M-14,18,8
100.64.78.153,100.64.73.86,26,100.64.73.182,25,ABR-HD-M-21,19,1
100.64.78.132,100.64.73.33,26,100.64.73.161,25,ABR-SD-BK-4,19,2
100.64.78.156,100.64.73.89,26,100.64.73.185,25,ABR-HD-M-24,19,4
100.64.78.154,100.64.73.87,26,100.64.73.183,25,ABR-HD-M-22,19,5
100.64.78.157,100.64.73.90,26,100.64.73.186,25,ABR-HD-M-25,19,6
100.64.78.155,100.64.73.88,26,100.64.73.184,25,ABR-HD-M-23,19,7
100.64.78.158,100.64.73.91,26,100.64.73.187,25,ABR-HD-M-26,19,8
100.64.78.22,100.64.72.21,27,,,SMX_CTL-SD-BK-2,20,1
100.64.78.131,100.64.73.32,26,100.64.73.160,25,ABR-SD-BK-3,20,2
100.64.78.46,100.64.72.87,26,100.64.72.215,27,XCD_HD1-BK-2,20,3
100.64.78.105,100.64.73.6,26,100.64.73.134,25,ABR-SD-M-5,20,5
100.64.78.107,100.64.73.8,26,100.64.73.136,25,ABR-SD-M-7,20,6
100.64.78.106,100.64.73.7,26,100.64.73.135,25,ABR-SD-M-6,20,7
100.64.78.108,100.64.73.9,26,100.64.73.137,25,ABR-SD-M-8,20,8
